Controller Name, DX200,,,,,,
Robot Name, DX200-R01,,,,,,
Model Traced, DX200-R01_tcp,,,,,,
Trace Model, DX200-R01-trace1_01,,,,,,
Reference Frame, world,,,,,,
,,,,,,,
Time[s],X[mm],Y[mm],Z[mm],Rx[deg],Ry[deg],Rz[deg],V[mm/s]
0.372,703.421,-272.08,909.222,177.127,-15.559,-19.733,309.137
0.376,702.976,-273.194,909.409,177.186,-15.985,-20.228,303.45
0.38,702.555,-274.3,909.592,177.252,-16.413,-20.723,299.423
0.384,702.129,-275.391,909.764,177.324,-16.84,-21.217,295.961
0.388,701.713,-276.46,909.911,177.405,-17.266,-21.714,288.942
0.392,701.325,-277.526,910.075,177.492,-17.693,-22.207,286.508
0.396,700.937,-278.575,910.209,177.586,-18.118,-22.703,281.742
0.4,700.555,-279.608,910.339,177.688,-18.544,-23.201,277.276
0.404,700.189,-280.63,910.454,177.796,-18.968,-23.697,272.877
0.408,699.841,-281.632,910.572,177.913,-19.393,-24.195,266.881
0.412,699.499,-282.627,910.667,178.036,-19.815,-24.692,264.196
0.416,699.164,-283.607,910.759,178.167,-20.238,-25.193,259.763
0.42,698.851,-284.576,910.846,178.305,-20.659,-25.692,255.605
0.424,698.547,-285.533,910.922,178.451,-21.079,-26.193,251.557
0.428,698.261,-286.47,910.975,178.605,-21.497,-26.694,245.356
0.432,697.982,-287.401,911.042,178.765,-21.915,-27.197,243.633
0.436,697.716,-288.317,911.08,178.933,-22.331,-27.703,238.62
0.44,697.459,-289.223,911.12,179.108,-22.745,-28.208,235.71
0.444,697.231,-290.118,911.152,179.292,-23.159,-28.715,231.034
0.448,697.001,-290.994,911.169,179.483,-23.57,-29.223,226.351
0.452,696.794,-291.854,911.173,179.682,-23.979,-29.734,221.087
0.456,696.593,-292.712,911.178,179.887,-24.386,-30.245,220.486
0.46,696.421,-293.56,911.178,-179.899,-24.793,-30.758,216.267
0.464,696.248,-294.396,911.167,-179.678,-25.196,-31.273,213.329
0.468,696.101,-295.214,911.135,-179.447,-25.597,-31.79,208.007
0.472,695.964,-296.024,911.116,-179.209,-25.997,-32.311,205.555
0.476,695.846,-296.83,911.077,-178.965,-26.393,-32.83,203.793
0.48,695.734,-297.618,911.033,-178.712,-26.788,-33.354,199.287
0.484,695.646,-298.399,910.986,-178.451,-27.179,-33.88,196.813
